name,thermal_cond,thermal_cond_liq,spec_heat_cap,spec_heat_cap_liq,density,density_liq,electrical_res,rel_permit,rel_permeab,q3d_id,young_modulus,poissons_ratios,thermal_expansion_coeffcient,type,melting_temp
Fields_Metal,18.9,18.5,300,250,7900,7700,,,,Fields_Metal,,,,PCM,59
Erythritol,0.733,0.326,1380,2760,1480,1300,,,,Erythritol,,,,PCM,121
Xylitol,0.373,0.433,1330,2360,1500,1350,,,,Xylitol,,,,PCM,94
vacuum,,,,,,,,1,,vacuum,,,,vacuum,
pec,,,,,,,1.00E-30,,,pec,,,,,
perfect conductor,,,,,,,1.00E-30,,,perfect conductor,,,,,
steel_stainless,13.8,,480,,8055,,9.09E-07,,,steel_stainless,1.95E+11,0.3,1.08E-05,,
zinc,115.5,,389,,7140,,5.99E-08,,,zinc,1.15E+11,0.33,6.35E-05,,
nickel,90,,444,,8900,,6.90E-08,,600,nickel,2.10E+11,0.35,1.30E-05,,
beryllium,190,,1824,,1848,,4.00E-08,,1.00000079,beryllium,3.00E+11,0.03,9.20E-06,,
solder,50.9,,167,,8300,,1.43E-07,,,solder,69000000000,0.4,1.59E-06,,
tin,,,,,,,,,,tin,,,,,
titanium,21,,522,,4500,,5.49E-07,,1.00018,titanium,1.15E+11,0.33,8.30E-06,,
brass,111,,162,,8600,,6.67E-08,,,brass,1.00E+11,0.34,3.39E-05,,
polyethylene,,,,,,,,,,polyethylene,,,,,
plexiglass,0.26,,,,,,,3.4,,plexiglass,,,,,
tungsten,174,,132,,19300,,5.49E-08,,,tungsten,3.75E+11,0.3,4.60E-06,,
bronze,64,,420,,8890,,1.00E-07,,,bronze,1.17E+11,0.31,1.40E-05,,
platinum,72,,133,,21450,,1.08E-07,,,platinum,1.60E+11,0.36,8.99E-06,,
chromium,94,,421,,7180,,1.32E-07,,,chromium,1.10E+11,0.31,2.91E-05,,
aluminum,,,,,,,,,,aluminum,,,,Conductor,
aluminum_EC,237.5,,,,,,2.78E-08,,1.000021,aluminum_EC,,,,Conductor,
aluminum_no2_EC,237.5,,,,,,3.03E-08,,1.000021,aluminum_no2_EC,,,,Conductor,
palladium,73,,244,,12020,,1.08E-07,,1.00082,palladium,1.20E+11,0.39,1.18E-05,Conductor,
Air,,,,,,,,,,Air,,,,Conductor,
copper,400,,385,,8933,,1.72E-08,,0.999991,copper,1.20E+11,0.38,1.77E-05,Conductor,
gold,315,,129,,19300,,2.44E-08,,0.99996,gold,80000000000,0.4,1.40E-05,Conductor,
silver,429,,235,,10500,,1.64E-08,,0.99998,silver,77000000000,0.37,1.89E-05,Conductor,
FR4_epoxy,0.294,,1150,,1900,,,4.4,,FR4_epoxy,11000000000,0.28,1.50E-05,Conductor,
glass_PTFEreinf,,,,,,,,2.5,,glass_PTFEreinf,,,,Conductor,
bakelite,1.4,,820,,1300,,1000000000,4.8,,bakelite,,,4.50E-05,Conductor,
polyamide,0.26,,,,,,,4.3,,polyamide,,,,Conductor,
teflon_based,0.35,,1050,,2200,,,2.08,,teflon_based,,,0.00016,Conductor,
Teflon (tm),0.25,,1400,,2250,,,2.1,,Teflon (tm),496000000,0.3,1.35E-06,Conductor,
Alumina,35,,850,,3960,,,9.8,,Alumina,3.70E+11,0.22,8.10E-06,Insulator,
sapphire,23.1,,,,,,,10,,sapphire,,,,Conductor,
quartz_glass,1.4,,750,,2500,,,3.78,,quartz_glass,60000000000,0.25,8.00E-06,Conductor,
corning_glass,,,,,,,,5.75,,corning_glass,,,,Conductor,
gallium_arsenide,46,,350,,5320,,,12.9,,gallium_arsenide,85500000000,0.31,6.86E-06,Conductor,
silicon,148,,712,,2330,,,11.9,,silicon,1.35E+11,0.25,2.54E-06,Conductor,
silicon_dioxide,1.5,,745,,2220,,,4,,silicon_dioxide,,,4.50E-06,Conductor,
silicon_nitrate,16,,691,,2400,,,7,,silicon_nitrate,,,2.70E-06,Conductor,
alumina_92pct,26,,790,,3720,,,9.2,,alumina_92pct,2.67E+11,0.26,7.20E-06,Conductor,
alumina_96pct,25,,880,,3800,,,9.4,,alumina_96pct,3.03E+11,0.21,6.40E-06,Conductor,
polyimide,0.25,,1150,,1400,,,3.5,,polyimide,7500000000,0.35,7.00E-05,Conductor,
ferrite,4,,750,,4600,,100,12,1000,ferrite,1.19E+11,,1.00E-05,Conductor,
polystyrene,0.14,,,,,,1.00E+16,2.6,,polystyrene,,,,Conductor,
rubber_hard,0.16,,1,,1190,,1.00E+15,3,,rubber_hard,,,,Conductor,
Neltec NY9208(IM) (tm),,,,,,,,2.08,,Neltec NY9208(IM) (tm),,,,Conductor,
Polyflon CuFlon (tm),,,,,,,,2.1,,Polyflon CuFlon (tm),,,,Conductor,
Rogers Ultralam1217 (tm),,,,,,,,2.17,,Rogers Ultralam1217 (tm),,,,Conductor,
Arlon DiClad 880 (tm),,,,,,,,2.2,,Arlon DiClad 880 (tm),,,,Conductor,
Arlon CuClad 217 (tm),,,,,,,,2.17,,Arlon CuClad 217 (tm),,,,Conductor,
Arlon IsoClad 917 (tm),,,,,,,,2.17,,Arlon IsoClad 917 (tm),,,,Conductor,
Neltec NY9217(IM) (tm),,,,,,,,2.17,,Neltec NY9217(IM) (tm),,,,Conductor,
Taconic TLY (tm),,,,,,,,2.2,,Taconic TLY (tm),,,,Conductor,
Duroid (tm),,,,,,,,2.2,,Duroid (tm),,,,Conductor,
Rogers RT/duroid 5880 (tm),,,,,,,,2.2,,Rogers RT/duroid 5880 (tm),,,,Conductor,
Neltec NY9220(IM) (tm),,,,,,,,2.2,,Neltec NY9220(IM) (tm),,,,Conductor,
Polyflon Polyguide (tm),,,,,,,,2.32,,Polyflon Polyguide (tm),,,,Conductor,
Rogers RT/duroid 5870 (tm),,,,,,,,2.33,,Rogers RT/duroid 5870 (tm),,,,Conductor,
Arlon DiClad 870 (tm),,,,,,,,2.33,,Arlon DiClad 870 (tm),,,,Conductor,
Arlon CuClad 233 (tm),,,,,,,,2.33,,Arlon CuClad 233 (tm),,,,Conductor,
Neltec NY9233(IM) (tm),,,,,,,,2.33,,Neltec NY9233(IM) (tm),,,,Conductor,
Arlon IsoClad 933 (tm),,,,,,,,2.33,,Arlon IsoClad 933 (tm),,,,Conductor,
Arlon DiClad 522 (tm),,,,,,,,2.5,,Arlon DiClad 522 (tm),,,,Conductor,
Arlon CuClad 250GT (tm),,,,,,,,2.5,,Arlon CuClad 250GT (tm),,,,Conductor,
Neltec NX9240 (tm),,,,,,,,2.4,,Neltec NX9240 (tm),,,,Conductor,
Rogers Ultralam 2000 (tm),,,,,,,,2.5,,Rogers Ultralam 2000 (tm),,,,Conductor,
Arlon DiClad 527 (tm),,,,,,,,2.5,,Arlon DiClad 527 (tm),,,,Conductor,
Arlon CuClad 250GX (tm),,,,,,,,2.5,,Arlon CuClad 250GX (tm),,,,Conductor,
Neltec NX9245(IM) (tm),,,,,,,,2.45,,Neltec NX9245(IM) (tm),,,,Conductor,
Taconic TLT (tm),,,,,,,,2.55,,Taconic TLT (tm),,,,Conductor,
Taconic TLX (tm),,,,,,,,2.55,,Taconic TLX (tm),,,,Conductor,
Rogers Ultralam 1250 (tm),,,,,,,,2.5,,Rogers Ultralam 1250 (tm),,,,Conductor,
Neltec NY9250(IM) (tm),,,,,,,,2.5,,Neltec NY9250(IM) (tm),,,,Conductor,
Arlon AD250A (tm),,,,,,,,2.5,,Arlon AD250A (tm),,,,Conductor,
Arlon AD255A (tm),,,,,,,,2.55,,Arlon AD255A (tm),,,,Conductor,
Arlon AD255C (tm),,,,,,,,2.55,,Arlon AD255C (tm),,,,Conductor,
Polyflon_NorCLAD (tm),,,,,,,,2.55,,Polyflon_NorCLAD (tm),,,,Conductor,
Neltec NY9255(IM) (tm),,,,,,,,2.55,,Neltec NY9255(IM) (tm),,,,Conductor,
Neltec NY9260(IM) (tm),,,,,,,,2.6,,Neltec NY9260(IM) (tm),,,,Conductor,
Sheldahl ComClad HF (tm),,,,,,,,2.6,,Sheldahl ComClad HF (tm),,,,Conductor,
Arlon AD260A (tm),,,,,,,,2.6,,Arlon AD260A (tm),,,,Conductor,
Arlon AD270 (tm),,,,,,,,2.7,,Arlon AD270 (tm),,,,Conductor,
Rogers RT/duroid 6002 (tm),,,,,,,,2.94,,Rogers RT/duroid 6002 (tm),,,,Conductor,
Arlon CLTE-XT (tm),,,,,,,,2.94,,Arlon CLTE-XT (tm),,,,Conductor,
Neltec NX9294 (tm),,,,,,,,2.94,,Neltec NX9294 (tm),,,,Conductor,
Neltec NH9294 (tm),,,,,,,,2.94,,Neltec NH9294 (tm),,,,Conductor,
Taconic TLE (tm),,,,,,,,2.95,,Taconic TLE (tm),,,,Conductor,
Arlon AD295 (tm),,,,,,,,2.95,,Arlon AD295 (tm),,,,Conductor,
Arlon CLTE (tm),,,,,,,,2.98,,Arlon CLTE (tm),,,,Conductor,
Arlon CLTE-AT (tm),,,,,,,,3,,Arlon CLTE-AT (tm),,,,Conductor,
Rogers RO3003 (tm),,,,,,,,3,,Rogers RO3003 (tm),,,,Conductor,
